count,day,month,year
6425,10,11,2022
5720,27,11,2022
5540,3,12,2022
6416,20,12,2022
2461,31,12,2022
7343,15,1,2023
5565,8,2,2023
7988,1,3,2023
4942,2,3,2023
6684,13,3,2023
4687,29,3,2023
5775,6,4,2023
3800,22,4,2023
4858,23,4,2023
5186,16,5,2023
3722,9,6,2023
6123,2,7,2023
6111,30,7,2023
6328,23,8,2023
6287,10,9,2023
6114,27,9,2023
4266,3,10,2023
4784,20,10,2023
4974,13,11,2023
3386,24,11,2023
5234,6,12,2023
4904,17,12,2023
17848,1,1,2024
5227,13,1,2024
4787,29,1,2024
4793,30,1,2024
4969,6,2,2024
6548,22,2,2024
3207,23,2,2024
5657,16,3,2024
5149,27,3,2024
3278,9,4,2024
611,20,4,2024
6646,8,2,2018
11428,1,3,2018
4254,31,10,2023
6576,14,1,2018
8381,15,1,2018
4361,31,1,2018
5120,29,3,2018
4469,2,1,2024
5067,28,4,2018
5868,3,5,2018
8094,10,5,2018
6131,14,5,2018
6271,3,6,2018
6326,7,6,2018
6806,27,8,2018
9009,20,9,2018
7392,27,9,2018
5437,13,10,2018
5880,6,11,2018
5627,12,11,2018
3476,30,11,2018
6856,5,12,2018
5317,23,12,2018
4023,4,1,2019
4258,31,1,2019
5083,3,2,2019
5319,24,2,2019
5897,17,3,2019
5588,28,3,2019
7333,10,4,2019
5332,21,4,2019
7977,20,5,2019
5849,27,5,2019
6710,13,6,2019
8893,20,6,2019
6351,2,7,2019
5947,6,7,2019
6679,24,7,2019
6878,26,9,2019
6397,19,10,2019
6000,12,11,2019
5087,30,11,2019
7508,5,12,2019
4961,28,1,2020
3178,21,2,2020
5096,20,3,2020
5784,9,4,2020
4709,13,4,2020
5601,2,5,2020
5246,6,5,2020
5476,13,5,2020
2867,24,5,2020
10175,6,6,2020
5789,26,7,2020
5617,19,8,2020
6403,12,9,2020
9689,30,9,2020
4773,5,10,2020
6393,29,10,2020
5911,4,11,2020
6269,22,11,2020
5766,8,12,2020
6867,15,12,2020
5146,6,1,2021
6796,10,1,2021
4969,17,1,2021
4645,3,2,2021
6544,10,2,2021
7559,3,3,2021
4743,30,3,2021
3693,23,4,2021
5763,16,5,2021
5424,9,6,2021
6037,8,7,2021
5058,19,7,2021
6927,26,7,2021
13716,1,8,2021
7428,12,8,2021
6670,19,8,2021
13644,1,9,2021
7565,5,9,2021
7026,12,9,2021
5520,18,12,2021
5619,25,12,2021
4774,2,1,2022
5906,6,1,2022
5591,13,1,2022
5355,17,1,2022
5528,6,2,2022
7318,10,2,2022
5122,26,3,2022
4656,19,4,2022
4480,30,4,2022
